Metabolite,Pathway
1-methylhistidine,amino acid and conjugate
1-methylnicotinamide,No_pathway_assigned
2-aminocaprylate,No_pathway_assigned
2-aminoheptanoate,No_pathway_assigned
2-hydroxyglutarate,No_pathway_assigned
2/3-phosphoglycerate,No_pathway_assigned
3-methylhistidine,amino acid and conjugate
4-aminobutyrate,No_pathway_assigned
4-guanidinobutanoate,amino acid and conjugate
4-hydroxyphenyllactate,No_pathway_assigned
4-hydroxyproline,No_pathway_assigned
4-pyridoxate,No_pathway_assigned
5-aminopentanoate,No_pathway_assigned
acetylcholine,No_pathway_assigned
acetylphosphate,No_pathway_assigned
aconitate,No_pathway_assigned
adenine,purine metabolism
adenosine,purine metabolism
adenylosuccinate,purine metabolism
ADP,nucleotides
ADP-hexose,No_pathway_assigned
ADP-ribose,nucleotides
AICAR,purine metabolism
alanine,No_pathway_assigned
alpha-ketoglutarate,TCA cycle
aminoadipate,amino acid and conjugate
AMP,nucleotides
anserine,amino acid and conjugate
arginine,amino acid and conjugate
argininosuccinate,amino acid and conjugate
asparagine,amino acid and conjugate
aspartate,No_pathway_assigned
ATP,nucleotides
beta-citrylglutamate,No_pathway_assigned
betaine,No_pathway_assigned
biotin,No_pathway_assigned
c12:0,Fatty acid metabolism
c14:0,Fatty acid metabolism
c16:0,Fatty acid metabolism
c16:1,Fatty acid metabolism
c18:0,Fatty acid metabolism
c18:1,Fatty acid metabolism
c18:2,Fatty acid metabolism
c18:3,Fatty acid metabolism
c20:1,Fatty acid metabolism
c20:2,Fatty acid metabolism
c20:3,Fatty acid metabolism
c20:4,Fatty acid metabolism
c22:4,Fatty acid metabolism
c22:5,Fatty acid metabolism
c22:6,Fatty acid metabolism
carbamoylphosphate,pyrimidine metabolism
carnitine,Carnitine metabolism
carnitine C10,Carnitine metabolism
carnitine C12,Carnitine metabolism
carnitine C14,Carnitine metabolism
carnitine C14:1,Carnitine metabolism
carnitine C16,Carnitine metabolism
carnitine C16:1,Carnitine metabolism
carnitine C18,Carnitine metabolism
carnitine C18:1,Carnitine metabolism
carnitine C18:2,Carnitine metabolism
carnitine C2,Carnitine metabolism
carnitine C3,Carnitine metabolism
carnitine C3-DC,Carnitine metabolism
carnitine C4,Carnitine metabolism
carnitine C4-DC,Carnitine metabolism
carnitine C4-OH,Carnitine metabolism
carnitine C5,Carnitine metabolism
carnitine C5-DC,Carnitine metabolism
carnitine C5-OH,Carnitine metabolism
carnitine C6,Carnitine metabolism
carnitine C8,Carnitine metabolism
carnosine,amino acid and conjugate
CDP,No_pathway_assigned
CDP-ethanolamine,nucleotides
cholestenone,No_pathway_assigned
choline,No_pathway_assigned
citicoline,nucleotides
citrate/isocitrate,No_pathway_assigned
citrulline,amino acid and conjugate
CMP,nucleotides
CMP-N-acetylneuraminate,No_pathway_assigned
creatine,amino acid and conjugate
creatinine,No_pathway_assigned
